Title,Author Name,Rating,Review,Size,Helpfullness,Review_Date
"
crocs
",jill,5.0 out of 5 stars,"

  Arrived on time in good condition.They are so comfortable I have not taken them off yet

",Size: 8/9 UKColour: Black,,Reviewed in the United Kingdom on 18 July 2010
"
crocs
",Mrs. C. Harris,5.0 out of 5 stars,"

  These came promptly, well wrapped and the sizing was perfect. On offer they weren't a bad price for actual crocs but 'pretend' ones are cheaper.

",Size: 3 UK Men/ 4 UK WomenColour: Navy,,Reviewed in the United Kingdom on 6 August 2011
"
crocs
",Ms S Hammond,5.0 out of 5 stars,"

  Crocs are amazing, I would not be able to work for 9 hours on my feet without my back hurting without wearing Crocs.  I am 53 and work in a pub, when I haven't been able to wear my crocs I really suffer at the end of my shift

",Size: 7.5/8 UKColour: Black,,Reviewed in the United Kingdom on 24 April 2010
"
... husband wears these a lot so these are very good.
",wk,5.0 out of 5 stars,"

  My husband wears these a lot so these are very good.

",Size: 7.5/8 UKColour: Black,,Reviewed in the United Kingdom on 6 July 2014
"
Great crocs, great price
",JanBlev,5.0 out of 5 stars,"

  Only trouble is I never want to put anything else on my feet!  Great shoes delivered on time.

",,,Reviewed in the United Kingdom on 27 May 2010
"
Five Stars
",Steve Flack,5.0 out of 5 stars,"

  Since they arrived I wear them all the time

",,,Reviewed in the United Kingdom on 18 August 2014
"
Five Stars
",Dogelmuffin,5.0 out of 5 stars,"

  Bargain

",Size: 11 UKColour: Black,,Reviewed in the United Kingdom on 14 April 2017
"
Pink Heaven
",D. Pettitt,5.0 out of 5 stars,"

  Brilliant !!!!!!!  So comfortable and light.  A dream to wear.Not wanted to wear anything else.  And a fantastic colour really cheerful just what is needed on these awful wet days.  Plus no worries when caught in a shower.  One of my best buys definitely.

",,,Reviewed in the United Kingdom on 7 August 2009
"
Crocs
",camera girl,5.0 out of 5 stars,"

  Very pleased with this buy

",,,Reviewed in the United Kingdom on 31 August 2014
"
Good value Crocs.
",Gareth Davies,5.0 out of 5 stars,"

  This is a good quality product at a very reasonable price and a varied selection of colours and sizes. These Crocs were chosen by my granddaughter who is very happy with them. Delivery was very prompt and all communications from the vendor were first class. I shall use this company again.

",,,Reviewed in the United Kingdom on 13 August 2013
"
Crocs
",Amazon Customer,5.0 out of 5 stars,"

  product completely meets description, however had to return them as they came up HUGE!  Normally 8/9 shoe size but these were too big.  No issue about money back, very prompt, so unable to comment on whether the smaller size any better.

",Size: 8/9 UKColour: Black,,Reviewed in the United Kingdom on 16 May 2012
"
Great crocs from Italy
",joelelva,5.0 out of 5 stars,"

  I have worn crocs for years.  This pair is from Italy, rather than made in Mexico like my last ones, and they are a better fit.  They are slightly wider and more comfortable, only a tiny amount but perfect.

",,,Reviewed in the United Kingdom on 29 August 2011
"
very good
",Dave,5.0 out of 5 stars,"

  Highly recommended

",,,Reviewed in the United Kingdom on 20 October 2014
"
Going to buy more
",william6607,5.0 out of 5 stars,"

  Got them on now sitting in Mallorca on holiday, I've walked miles in them and they are very comfy, will get another pair when I get home.

",Size: 9 UK Men/ 10 UK WomenColour: Black,,Reviewed in the United Kingdom on 11 June 2013
"
just what i wanted
",caroline,5.0 out of 5 stars,"

  I wear Crocs all the time very comfortable. These arrived very quickly and were very well packaged they were also a reasonable price very pleased thankyou

",Size: 6 UK Men/ 7 UK WomenColour: Black,,Reviewed in the United Kingdom on 25 November 2011
"
fabulous
",liz,5.0 out of 5 stars,"

  These are my second pair of crocs I just love them it's like walking on air they are so comfortable and cool on your feet

",Size: 4 UK Men/ 5 UK WomenColour: Black,,Reviewed in the United Kingdom on 6 September 2013
"
Four Stars
",fran,4.0 out of 5 stars,"

  LOVE THE COLOUR

",,,Reviewed in the United Kingdom on 1 September 2014
"
Four Stars
",Hells Bells,4.0 out of 5 stars,"

  Bought for boyfriend uses for fishing fit well and good quality recommended

",Size: 9 UK Men/ 10 UK WomenColour: Black,,Reviewed in the United Kingdom on 17 July 2014
"
comfy
",Mags,4.0 out of 5 stars,"

  Arrived in good time and are very comfy. Great for the garden and for walking, winter and summer - winter with socks (but don't tell the kids). Good product.

",Size: 4 UK Men/ 5 UK WomenColour: Chocolate,,Reviewed in the United Kingdom on 21 April 2012
"
crocs cayman
",Celia D,5.0 out of 5 stars,"

  So pleased with my crocs, so very versatile, I can wear them indoors and out, great for gardening, they're much cooler to wear that the traditional garden clog. Very easy to clean, and incredibly comfortable. Wouldn't be without them, and I'm definately going to buy another pair.

",,One person found this helpful,Reviewed in the United Kingdom on 1 June 2009
"
Cyman Crocs - Black
",Wendy Kinnear,5.0 out of 5 stars,"

  I'm now on my 3rd pair of these Crocs and would recommend them.  They are so comfortable; I wear them nearly all of the time.

",Size: 7.5/8 UKColour: Black,,Reviewed in the United Kingdom on 15 February 2011
"
Most useful footwear in wardrobe
",Squea,5.0 out of 5 stars,"

  I purchased this pair to replace an identical pair that I was given nearly 2 years ago.  I have almost worn out worn out the first pair through constant use and can't imagine life without them!  Need I praise them any more ...

",Size: 4.5 UKColour: Navy,,Reviewed in the United Kingdom on 13 October 2011
"
Five Stars
",Bebe73,5.0 out of 5 stars,"

  like the, colour comfy to wear and practical for the garden and holidays

",,,Reviewed in the United Kingdom on 14 August 2014
"
crocs rock
",sally warden,5.0 out of 5 stars,"

  I love my new jesty crocs, I wear them nearly every day and they will be coming on holiday with me.

",,,Reviewed in the United Kingdom on 27 March 2014
"
Shear Bliss
",Pat,5.0 out of 5 stars,"

  Excellent comfort,  can do anything in them, I go on the tredmill,gardening, walking or just doing housework.  They last for ages, thisis my second pair, I still use my old ones too.

",Size: 9 UK Men/ 10 UK WomenColour: Navy,One person found this helpful,Reviewed in the United Kingdom on 7 April 2011
"
Fab !
",Bex,5.0 out of 5 stars,"

  I cannot live without my croc's !! They are so comfortable to wear and easy to wipe clean.I have Plantar Fascitis which is inflammation of the underneath foot. Croc's are my saviour.

",Size: 5 UK Men/ 6 UK WomenColour: Black,,Reviewed in the United Kingdom on 29 December 2010
"
Crocs Adult Cayman
",C. Howell,5.0 out of 5 stars,"

  These are the first pair of crocs that i've bought, after reading many reviews, i decided to buy them based on all the positive reviews.I'm very pleased with them, they are so comfortable and worth every penny.Would certainly buy crocs again

",Size: 7.5/8 UKColour: Black,,Reviewed in the United Kingdom on 4 October 2009
"
should have chosen a bigger size
",A. Geary,4.0 out of 5 stars,"

  all in all i'm pleased with the crocs but i couldn;t wear them with the straps

",Size: 3 UK Men/ 4 UK WomenColour: Navy,,Reviewed in the United Kingdom on 27 July 2014
"
Spring Crocs
",Cristina,5.0 out of 5 stars,"

  I use to wear Crocs for many years, so I know the item and I like it very much. What I like most at these new ones is the bright and funny colour. I got my parcel in a very short time which makes me continue to look for items on Amazon.uk

",,,Reviewed in the United Kingdom on 2 April 2011
"
Croc
",bobzog,5.0 out of 5 stars,"

  We have bought three pairs for caravanning. They are so comfortable and very practicable. They were ordered and delivered by Royal Mail within two days. Great service.

",Size: 6 UKColour: Parrot Green,,Reviewed in the United Kingdom on 12 November 2010
"
Five Stars
",jean partington,5.0 out of 5 stars,"

  Brillant

",Size: 4 UK Men/ 5 UK WomenColour: Black,,Reviewed in the United Kingdom on 1 October 2014
"
Good crocs
",Pickzie,5.0 out of 5 stars,"

  Nicely packed authentic crocs although I had hoped that they would have arrived a bit faster. Could be the Christmas volume being contended with by Royal Mail

",Size: 6 UK Men/ 7 UK WomenColour: Navy,,Reviewed in the United Kingdom on 13 December 2012
"
Fine
",Kathryn Harris,5.0 out of 5 stars,"

  Love the colour and the fit.

",,,Reviewed in the United Kingdom on 25 August 2014
"
CROCS
",PAT,5.0 out of 5 stars,"

  My friend is adamant that the pains she had in her feet have disappeared since she started wearing crocs, so I thought I would give them a go.  Felt strange at first, but I love them now.

",Size: 4.5 UKColour: Navy,,Reviewed in the United Kingdom on 25 July 2011
"
Crocs adult
",Mrs. Anne Hughes,5.0 out of 5 stars,"

  A Christmas present for my husband who has never worn crocs (I Have) the size was exact to his shoe size and fitted great. He has not taken them off says to his amazment they are very comfortable. A good stocking filler.

",Size: 5 UK Men/ 6 UK WomenColour: Black,,Reviewed in the United Kingdom on 30 December 2009
"
Great shoe for the summer
",S. Hughes,5.0 out of 5 stars,"

  great shoe - only issues are there are no half sizes (UK) and the ordered size came up a little small

",,3 people found this helpful,Reviewed in the United Kingdom on 3 June 2009
"
lets get comfy
",Mr. R. J. Blackhall,5.0 out of 5 stars,"

  having brought crocs before i know how comfortable they are,but as you know they are expensive! but i found buying through amazon they were much cheaper & would recommend amazon to all.very easy to order, free postage, & quick to arrive.

",Size: 4.5 UKColour: Navy,One person found this helpful,Reviewed in the United Kingdom on 2 June 2009
"
Great Clogs *^_^*
",LeahCake,5.0 out of 5 stars,"

  I've just had surgery on both feet so normal shoes are definitely a BIG no, so the next best thing (well I think anyway) are these clogs. They're awesome!! Great as post surgery shoes especially the little nodules that help the blood circulation.

",Size: 5 UK Men/ 6 UK WomenColour: Black,,Reviewed in the United Kingdom on 12 July 2011
"
Brilliant service and VEry fast delivery
",Heather,5.0 out of 5 stars,"

  just as described, would deal with this supplier again. Very comfortable for wearing round house or out! Bought a pair for husband as he goes outside and ruins his slippers all the time!

",Size: 5 UK Men/ 6 UK WomenColour: Black,,Reviewed in the United Kingdom on 29 September 2011
